somali,english,russian,known_percent,note,note_ru,source
"Aabbe, kan yar iga celiyoo kan weyn igu sii daa","Oh father, save me from the small one, the big one I shall manage myself.","Отец, избавь меня от маленького, а с большим я и сам справлюсь.","100","Said when somebody is unable to solve a small problem, but thinks he can deal with a big one, or when somebody is trying to palm off on to someone else the solution of a problem he cannot solve himself. This goes back to a story about a boy who was often beaten up by other boys of his age. One day the boy and his father encountered one of his attackers, who had a bigger fellow with him. The victim, realizing that if it came to blows he would not be able to beat the boy of his own age, but that the big fellow would scarcely want to fight with him, pronounced these words, which became a proverb.","Так говорят о человеке, который не в состоянии справиться с небольшой проблемой, но при этом уверяет, что сумеет решить более серьёзную; либо о том, кто пытается переложить на другого решение задачи, с которой сам справиться не может. Пословица восходит к истории о мальчике, которого часто били сверстники. Однажды он вместе с отцом встретил одного из своих обидчиков, которого сопровождал парень постарше. Мальчик, понимая, что в случае драки не сможет одолеть своего ровесника, а старший вряд ли на него нападёт, и произнёс слова, впоследствии ставшие пословицей.","hubsiimo"
"Allow, nimaan wax ogayn ha cadaabin","Oh Allah, do not punish a man who sins through ignorance [i.e. who unknowingly violates religious precepts].","О Аллах, не карай того, кто грешит по невежеству [т. е.  кто неосознанно нарушает религиозные заповеди].","97.77","","","hubsiimo"
"Hubsiimo hal baa la siistaa","To know something for sure, one would even part with a she-camel.","Чтобы знать что-либо наверняка, не жаль отдать и верблюдицу.","97.77","","","hubsiimo"
"Af jooga looma adeego","Do not speak for [lit: do not serve for] a mouth that is present [i.e. one should not speak on behalf of a person who is present].","За присутствующий рот не говорят [букв.: ему не прислуживают].","95.55","","Употребляется в значении: за присутствующего человека не высказываются.","hubsiimo"
"Naftu orod bay kugu aammintaa","The soul tells you to run as fast as you can [i.e. to save your life with all your might].","Душа велит тебе бежать со всех ног [т. е. изо всех сил спасать свою жизнь].","95.55","","","hubsiimo"
"Nin tuur lihi siduu u seexdo isagaa yaqaan","A hunchback knows how he should sleep [i.e. every man knows better than you what he needs].","Горбатый лучше (тебя) знает, как ему спать [т. е. каждый сам лучше других знает свои нужды].","95.55","","","hubsiimo"
"Shimbirba shimbirkiisuu la duulaa","Each bird flies only with birds [lit.: bird] of its own kind.","Каждая птица летает с себе подобной.","95.55","","","hubsiimo"
"Af wax cunay, xishow","Oh mouth, you have eaten something, now keep quiet [i.e. do not object to he who has fed you].","Рот, ты поел, так теперь помалкивай [т. е. не возражай давшему поесть].","93.33","","","hubsiimo"
"Beeni raad ma leh","A lie leaves no trace [i.e. nothing remains of it].","Ложь не оставляет следов [т. е. от неё ничего не остаётся].","93.33","","","hubsiimo"
"Gacmo wadajir bay wax ku gooyaan","One can tear something only with two hands.","Что-либо разорвать можно только двумя руками.","93.33","","","hubsiimo"
"Habar fadhidaa legdan la fududaa","To an old woman who is sitting down, wrestling seems to be the simplest thing [i.e. when one takes a detached view, every job seems easy].","Сидящей старухе кажется, что бороться легко [т. е. со стороны всякое дело кажется лёгким].","93.33","","","hubsiimo"
"Ama afeef hore lahow, ama adkeysi dambe lahow","Either refuse (to do something) at once or put up with it later.","Либо откажись сразу, либо потом терпи.","91.11","","","hubsiimo"
"Barasho horteed hay nicin","Do not reject me until you know me well [i.e. one should not be judged by appearances].","Не отвергай меня, не узнав хорошенько.","91.11","This goes back to a tale about an ugly but brave young man who was unsuccessfully wooing a girl - she preferred a handsome but, as it turned out, cowardly man.","Употребляется в значении: не следует судить о человеке по первому впечатлению. Изречение восходит к сказке о том, как некрасивый, но храбрый юноша безуспешно сватал девушку —  та предпочла ему красивого, но, как оказалось, трусливого человека.","hubsiimo"
"Baryo badan iyo bukaan badanba waa laysku nacaa","Beggars and ailing people are disliked equally.","Попрошаек и больных одинаково не любят.","91.11","","","hubsiimo"
"Col kaa badan iyo biyo kaa badanba way ku hafiyaan","You will be drowned by two things: plenty of water and plenty of enemies.","Много воды —  утонешь, много врагов —  утопят.","91.11","","","hubsiimo"
"Dawaco meeshay macal uga baratay ayay macaluul ugu baqtidaa","Where the jackal has got accustomed to fat brisket, he will eventually die of starvation.","Там, где шакал привык к жирной грудинке, он когда-нибудь подохнет от истощения.","91.11","","","hubsiimo"
"Jinni ninkii keenaa bixiya","He who brought the jinnee [i.e. the trouble] must take it away.","Кто джинна [т. е. беду] привёл, тот его и увести должен.","91.11","","","hubsiimo"
"Miro gunti ku jira kuwo geed saaran looma daadiyo","One does not throw away fruit in the pocket for the sake of fruit on the tree.","Ради плодов, растущих на дереве, не высыпают тех, что в кармане.","91.11","","","hubsiimo"
"Naag been waa lagu soo xero geliyaa, runna waa lagu dhaqaa","One brings a woman into a house by deception, but lives with her by truth [i.e. promises a lot, but has to live with reality].","Женщину в дом вводят обманом, да живут с ней правдой [т. е. много обещают, а живут по возможности].","91.11","","","hubsiimo"
"Nin weyni wedkii waa yaqaan","An old man knows where his death may come from [i.e. what may threaten him].","Старый человек знает, откуда ему смерти ждать [т. е. откуда грозит опасность].","91.11","","","hubsiimo"
"Aqoonla'aani waa iftiinla'aan","The absence of knowledge is the absence of light.","Без знаний — всё равно, что без света.","88.89","","","hubsiimo"
"Aroos lagama raago, lagumana raago","One should neither be late for the wedding nor stay too long at it.","На свадьбу не опаздывают и на ней не засиживаются.","88.89","","","hubsiimo"
